,City ID,City Name,Cloudiness,Humidity,Latitude,Longitude,Temp Max,Wind Speed
0,707860,Hurzuf,0,85,44.55,34.28,68.58,5.86
1,6541936,Orta Nova,20,88,41.33,15.71,77.0,3.36
2,1259552,Pipri,20,56,19.8,75.53,93.2,3.36
3,2766080,Scheibbs,24,82,48.0,15.17,72.0,3.18
4,6217203,Allenton,0,89,-43.89,171.74,22.5,2.73
5,1121941,Ūrāyin-e ‘Ulyā,0,17,33.25,62.18,75.6,5.41
6,6943716,Snowdrift,5,41,62.41,-110.74,42.8,8.05
7,3333125,City and Borough of Birmingham,20,73,52.48,-1.9,69.8,8.05
8,6541469,Trento,0,57,46.07,11.12,78.8,2.24
9,6547684,Stahnsdorf,0,44,52.36,13.19,84.2,3.36
10,2946952,Bohme,75,51,52.78,9.47,80.6,2.24
11,7286962,Rothrist,75,93,47.3,7.89,73.4,12.75
12,1337285,Mongar Dzongkhag,48,96,27.25,91.23,65.16,1.72
13,3465671,Congonhas,40,43,-20.5,-43.86,73.4,8.05
14,2644386,Litherland,20,68,53.47,-3.0,71.6,2.24
15,1254373,Tirumala,0,92,13.68,79.35,75.51,2.51
16,1261234,Nohar,0,28,29.18,74.77,92.7,11.68
17,2111495,Ohara,75,88,35.25,140.38,68.0,4.7
18,1688912,San Narciso,75,88,15.01,120.08,80.6,4.7
19,1219762,Bayramaly,0,36,37.62,62.17,77.0,9.17
20,1143838,Dasht-e Archi,0,64,37.13,69.17,64.26,2.62
21,3433513,Ibarreta,92,100,-25.21,-59.86,68.04,4.97
22,7871895,Weinburg,12,54,48.12,15.53,78.8,5.82
23,7873385,Schwarzau im Schwarzautal,75,77,46.87,15.66,69.8,1.12
24,7872358,Pinggau,20,90,47.46,16.05,70.56,2.73
25,2772254,Loruns,64,68,47.13,9.85,73.4,1.12
26,7871853,Hinterbrühl,0,60,48.08,16.22,78.8,6.93
27,2025456,Chernyshevskiy,0,58,63.01,112.47,53.19,7.43
28,571719,Bratovshchina,0,52,56.05,37.88,46.4,11.18
29,7603258,Région du Tibesti,8,15,20.33,16.67,86.49,3.96
30,6555098,Gries,40,64,49.42,7.4,78.8,8.05
31,1856764,Miyamaechō,90,77,36.32,139.2,60.8,2.28
32,2849483,Regensburg,75,100,49.02,12.1,71.6,2.39
33,294097,Naẕerat ‘Illit,20,69,32.71,35.32,75.2,5.82
34,3729045,Brochette,20,44,18.54,-72.42,93.2,18.34
35,3463174,Formiga,12,44,-20.46,-45.43,72.63,8.77
36,6357249,Pozoblanco,0,34,38.24,-4.81,80.6,9.17
37,6438266,Grande-Synthe,40,82,51.01,2.28,68.0,6.93
38,2417833,Mamou,64,97,10.38,-12.09,74.61,5.97
39,6536515,Magenta,20,57,45.46,8.88,77.0,6.93
40,2753354,Gemeente IJsselstein,0,78,52.02,5.03,75.2,3.36
41,1610505,Kaeng Khro,75,88,16.11,102.26,75.2,3.36
42,5164390,New Philadelphia,75,69,40.49,-81.45,84.2,6.93
43,2327494,Ohafia-Ifigh,92,82,5.61,7.81,81.09,6.64
44,491155,Sokolovyy,75,66,51.57,45.83,50.0,13.42
45,526347,Mirnyy,76,54,58.49,47.65,39.96,11.45
46,559478,Gorodoviki,8,32,46.14,41.97,71.1,7.99
47,1486525,Yagunovskiy,0,93,55.28,85.98,42.8,6.71
48,6355585,Paterna del Río,0,77,37.05,-2.95,68.0,3.36
49,567866,Chelokhovo,0,42,55.37,38.92,46.4,15.66
50,549904,Khoduzhets,0,38,52.83,34.48,57.51,12.8
51,496456,Setun’,75,49,55.72,37.42,46.4,15.66
52,532264,Makarely,32,46,65.67,30.63,53.91,2.62
53,6356479,Llano de Bureba,20,82,42.63,-3.44,64.4,9.17
54,533475,Lukino,44,40,57.08,43.83,42.75,12.24
55,6608093,Nechaikha,75,55,56.58,43.67,39.2,13.42
56,537675,Kuznetsovo,44,35,57.94,41.25,45.27,16.04
